CMA_Name,CMA_pop
"Raleigh-Durham-Cary, NC",2439501
"Rapid City-Spearfish, SD",185036
"Redding-Red Bluff, CA",245572
"Reno-Carson City-Gardnerville Ranchos, NV-CA",709954
"Richmond-Connersville, IN",89745
"Rochester-Austin-Winona, MN",321615
"Rochester-Batavia-Seneca Falls, NY",1147472
"Rockford-Freeport-Rochelle, IL",431536
"Rocky Mount-Wilson-Roanoke Rapids, NC",290644
"Sacramento-Roseville, CA",2751336
"Saginaw-Midland-Bay City, MI",374387
"St. Louis-St. Charles-Farmington, MO-IL",2915867
"Salisbury-Ocean Pines, MD",185907
"Salt Lake City-Provo-Orem, UT-ID",2879037
"San Antonio-New Braunfels-Kerrville, TX",2845065
"San Jose-San Francisco-Oakland, CA",9164058
"Savannah-Hinesville-Statesboro, GA",649090
"Seattle-Tacoma, WA",5105721
"Shreveport-Bossier City-Minden, LA",418453
"Sioux City-Le Mars, IA-NE-SD",171819
"South Bend-Elkhart-Mishawaka, IN-MI",812566
"Spencer-Spirit Lake, IA",34632
"Spokane-Spokane Valley-Coeur d'Alene, WA-ID",793285
"Springfield-Amherst Town-Northampton, MA",700421
"Springfield-Jacksonville-Lincoln, IL",304571
"Starkville-Columbus, MS",129039
"State College-DuBois, PA",237937
"Syracuse-Auburn, NY",729756
"Tallahassee-Bainbridge, FL-GA",427066
"Tucson-Nogales, AZ",1130657
"Tulsa-Bartlesville-Muskogee, OK",1180615
"Tupelo-Corinth, MS",166927
"Tyler-Jacksonville, TX",302314
"Union City-Martin, TN",63423
"Victoria-Port Lavaca, TX",119112
"Virginia Beach-Chesapeake, VA-NC",1873879
"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",10237545
"Wausau-Stevens Point-Wisconsin Rapids, WI",285074
"Weatherford-Elk City, OK",61353
"Wichita-Arkansas City-Winfield, KS",695403
"Williamsport-Lock Haven, PA",151101
"Youngstown-Warren-Salem, OH",525909
"Mayagüez-Aguadilla, PR",458174
"Ponce-Coamo, PR",318204
"San Juan-Bayamón, PR",2359494
